nodes	percent_of_prediction	percent_of_DWPC	metapath
Tolcapone—Parkinson's disease—Bromocriptine—type 2 diabetes mellitus	0.481	1	CpDpCtD
Tolcapone—CYP2C9—Glimepiride—type 2 diabetes mellitus	0.0414	0.127	CbGbCtD
Tolcapone—CYP2C9—Glipizide—type 2 diabetes mellitus	0.0379	0.116	CbGbCtD
Tolcapone—CYP2C9—Gliclazide—type 2 diabetes mellitus	0.0352	0.108	CbGbCtD
Tolcapone—CYP2C9—Chlorpropamide—type 2 diabetes mellitus	0.0299	0.0916	CbGbCtD
Tolcapone—CYP2C9—Pioglitazone—type 2 diabetes mellitus	0.0299	0.0916	CbGbCtD
Tolcapone—CYP2C9—Rosiglitazone—type 2 diabetes mellitus	0.0276	0.0845	CbGbCtD
Tolcapone—CYP2C9—Tolbutamide—type 2 diabetes mellitus	0.0267	0.0816	CbGbCtD
Tolcapone—CYP2C9—Valsartan—type 2 diabetes mellitus	0.0244	0.0747	CbGbCtD
Tolcapone—CYP2C9—Nateglinide—type 2 diabetes mellitus	0.0227	0.0694	CbGbCtD
Tolcapone—CYP2C9—Irbesartan—type 2 diabetes mellitus	0.0218	0.0665	CbGbCtD
Tolcapone—CYP2C9—Glyburide—type 2 diabetes mellitus	0.0153	0.0469	CbGbCtD
Tolcapone—CYP2C9—Losartan—type 2 diabetes mellitus	0.014	0.0429	CbGbCtD
Tolcapone—Niclosamide—CYP1A2—type 2 diabetes mellitus	0.000686	0.72	CrCbGaD
Tolcapone—Tolmetin—PTGS2—type 2 diabetes mellitus	0.000266	0.28	CrCbGaD
Tolcapone—COMT—Neuronal System—GAD2—type 2 diabetes mellitus	0.000198	0.00473	CbGpPWpGaD
Tolcapone—COMT—Neuronal System—KCNJ11—type 2 diabetes mellitus	0.00018	0.00428	CbGpPWpGaD
Tolcapone—COMT—Biological oxidations—CYP2E1—type 2 diabetes mellitus	0.000172	0.00411	CbGpPWpGaD
Tolcapone—COMT—Biological oxidations—CYP1A2—type 2 diabetes mellitus	0.00017	0.00406	CbGpPWpGaD
Tolcapone—COMT—Metapathway biotransformation—CYP2E1—type 2 diabetes mellitus	0.00017	0.00405	CbGpPWpGaD
Tolcapone—COMT—Metapathway biotransformation—CYP1A2—type 2 diabetes mellitus	0.000168	0.00401	CbGpPWpGaD
Tolcapone—COMT—Transmission across Chemical Synapses—SNAP25—type 2 diabetes mellitus	0.000167	0.00398	CbGpPWpGaD
Tolcapone—COMT—Biological oxidations—CYP3A4—type 2 diabetes mellitus	0.000166	0.00396	CbGpPWpGaD
Tolcapone—COMT—Metapathway biotransformation—CYP3A4—type 2 diabetes mellitus	0.000164	0.00391	CbGpPWpGaD
Tolcapone—CYP2C9—Constitutive Androstane Receptor Pathway—CYP3A4—type 2 diabetes mellitus	0.000164	0.00391	CbGpPWpGaD
Tolcapone—CYP2C9—Nuclear Receptors in Lipid Metabolism and Toxicity—CYP2E1—type 2 diabetes mellitus	0.000162	0.00386	CbGpPWpGaD
Tolcapone—CYP2C9—Nuclear Receptors in Lipid Metabolism and Toxicity—CYP1A2—type 2 diabetes mellitus	0.00016	0.00382	CbGpPWpGaD
Tolcapone—CYP2C9—Nuclear Receptors in Lipid Metabolism and Toxicity—CYP3A4—type 2 diabetes mellitus	0.000156	0.00372	CbGpPWpGaD
